日期,茅台收盘,平安收盘
2023-04-18,9538.0,48.62
2023-04-19,9543.02,48.4
2023-04-20,9457.0,48.79
2023-04-21,9374.54,46.74
2023-04-24,9271.69,46.4
2023-04-25,9399.21,46.09
2023-04-26,9467.2,45.79
2023-04-27,9537.6,50.37
2023-04-28,9550.66,51.8
2023-05-04,9497.3,53.7
2023-05-05,9497.8,53.83
2023-05-08,9349.67,54.92
2023-05-09,9357.11,53.48
2023-05-10,9372.18,52.31
2023-05-11,9332.33,52.35
2023-05-12,9278.72,51.27
2023-05-15,9328.47,53.71
2023-05-16,9263.09,53.2
2023-05-17,9251.59,51.91
2023-05-18,9201.34,51.82
2023-05-19,9244.05,51.04
2023-05-22,9477.7,51.42
2023-05-23,9369.92,49.9
2023-05-24,9301.33,48.47
2023-05-25,9251.59,48.4
2023-05-26,9199.13,48.44
2023-05-29,9191.29,48.04
2023-05-30,9087.23,47.99
2023-05-31,8889.3,47.0
2023-06-01,8924.57,47.45
2023-06-02,9098.83,49.1
2023-06-05,9070.69,48.51
2023-06-06,9080.69,48.76
2023-06-07,8999.84,49.01
2023-06-08,9085.77,49.67
2023-06-09,9075.72,49.48
2023-06-12,9226.46,49.57
2023-06-13,9241.54,49.63
2023-06-14,9381.63,48.05
2023-06-15,9522.93,48.42
2023-06-16,9737.43,48.6
2023-06-19,9467.65,47.5
2023-06-20,9464.94,46.89
2023-06-21,9426.6,46.64
2023-06-26,9291.78,45.93
2023-06-27,9302.09,46.3
2023-06-28,9389.17,46.54
2023-06-29,9315.45,46.3
2023-06-30,9331.54,46.4
2023-07-03,9497.86,48.18
2023-07-04,9530.52,47.95
2023-07-05,9454.04,47.35
2023-07-06,9391.73,47.3
2023-07-07,9326.66,47.21
2023-07-10,9381.28,46.61
2023-07-11,9427.01,47.2
2023-07-12,9446.1,47.29
2023-07-13,9569.71,48.62
2023-07-14,9643.07,48.64
2023-07-17,9527.35,48.05
2023-07-18,9491.32,47.6
2023-07-19,9492.33,47.77
2023-07-20,9497.35,47.42
2023-07-21,9735.03,46.97
2023-07-24,9734.27,46.62
2023-07-25,10022.7,49.55
2023-07-26,10022.7,49.46
2023-07-27,10070.33,49.88
2023-07-28,10366.64,51.93
2023-07-31,10284.14,52.6
2023-08-01,10326.44,51.74
2023-08-02,10281.22,51.41
2023-08-03,10273.53,52.41
2023-08-04,10348.91,51.9
2023-08-07,10321.07,51.7
2023-08-08,10331.47,51.26
2023-08-09,10332.88,51.26
2023-08-10,10256.1,51.36
2023-08-11,10050.08,49.37
2023-08-14,9894.31,48.53
2023-08-15,9944.46,48.68
2023-08-16,9979.73,48.35
2023-08-17,10020.18,47.91
2023-08-18,9892.25,47.52
2023-08-21,9834.02,46.67
2023-08-22,9818.94,47.0
2023-08-23,9748.59,46.46
2023-08-24,9961.14,46.5
2023-08-25,10004.76,47.01
2023-08-28,10054.96,48.11
2023-08-29,10137.16,48.56
2023-08-30,10160.63,48.25
2023-08-31,10115.4,48.79
2023-09-01,10135.75,50.1
2023-09-04,10210.87,51.45
2023-09-05,10174.19,50.2
2023-09-06,10185.75,51.03
2023-09-07,10070.18,50.22
2023-09-08,9972.2,50.12
2023-09-11,9990.64,50.36
2023-09-12,9979.53,49.95
2023-09-13,9979.28,49.5
2023-09-14,9973.15,49.19
2023-09-15,9788.74,49.2
2023-09-18,10025.96,49.3
2023-09-19,10014.61,49.28
2023-09-20,9999.83,48.89
2023-09-21,9871.15,48.49
2023-09-22,10125.45,50.33
2023-09-25,10041.94,49.06
2023-09-26,9959.63,48.56
2023-09-27,9949.59,48.66
2023-09-28,9871.95,48.3
2023-10-09,9763.67,48.07
2023-10-10,9728.49,47.6
2023-10-11,9771.21,47.69
2023-10-12,9808.89,48.43
2023-10-13,9633.02,47.97
